Species,E4E,Cmean,Csem,Wmean,Wsem,Trait
E. anglica x nemorosa,E4E0027,12,0.617213399848368,10.3333333333333,1.20185042515466,Nodes
E. anglica x rostkoviana,E4E0016,10.5555555555556,0.474666874739863,12,1,Nodes
E. arctica,E4E0139,8.22222222222222,0.277777777777778,7.33333333333333,1.20185042515466,Nodes
E. arctica,E4E0032,7.1,0.276887462097269,7.33333333333333,1.20185042515466,Nodes
E. arctica,E4E0138,8.6,0.221108319357027,8.33333333333333,0.881917103688197,Nodes
E. arctica,E4E0144,8.55555555555556,0.444444444444444,6.33333333333333,0.881917103688197,Nodes
E. arctica x confusa,E4E0033,7.8,0.249443825784929,8.33333333333333,1.20185042515466,Nodes
E. arctica x nemorosa,E4E0021,12.1,0.433333333333333,13.5,0.5,Nodes
E. arctica x nemorosa,E4E0145,10.4,0.476095228569523,9.66666666666667,1.20185042515466,Nodes
E. confusa,E4E0009,11.7,0.578311719096582,,,Nodes
E. confusa x nemorosa,E4E0031,9.8,0.290593262902712,12,1.73205080756888,Nodes
E. confusa x tetraquetra,E4E0143,7.6,0.371184290855335,8.66666666666667,0.881917103688197,Nodes
E. nemorosa,E4E0069,12,0.534522483824849,11.3333333333333,1.20185042515466,Nodes
E. nemorosa,E4E0064,10.3,1.02252411001186,7,,Nodes
E. pseudokerneri,E4E0112,13.3,0.395811402901264,12.6666666666667,0.666666666666667,Nodes
E. pseudokerneri,E4E0029,13.1818181818182,0.67174375279677,12.5,1.5,Nodes
E. anglica x nemorosa,E4E0027,9.07142857142857,0.48092880658867,8,0.577350269189626,Corolla
E. anglica x rostkoviana,E4E0016,7.88888888888889,0.1821510701195,6.5,0.5,Corolla
E. arctica,E4E0139,7.72222222222222,0.277777777777778,7,0,Corolla
E. arctica,E4E0032,9.3,0.290593262902712,8,1.15470053837925,Corolla
E. arctica,E4E0138,8.75,0.200693242979872,7.33333333333333,0.333333333333333,Corolla
E. arctica,E4E0144,8.55555555555556,0.281913654585895,6.66666666666667,0.333333333333333,Corolla
E. arctica x confusa,E4E0033,9.45,0.203442593595562,8.66666666666667,0.666666666666667,Corolla
E. arctica x nemorosa,E4E0021,7.65,0.341971408811387,6.5,0.5,Corolla
E. arctica x nemorosa,E4E0145,8.25,0.111803398874989,6.33333333333333,0.333333333333333,Corolla
E. confusa,E4E0009,6.95,0.189296944860009,5.5,0.5,Corolla
E. confusa x nemorosa,E4E0031,7.85,0.15,6.33333333333333,0.881917103688197,Corolla
E. confusa x tetraquetra,E4E0143,7.2,0.2,5,0,Corolla
E. nemorosa,E4E0069,7.625,0.295048422176041,6.66666666666667,0.333333333333333,Corolla
E. nemorosa,E4E0064,7.5,0.166666666666667,6,,Corolla
E. pseudokerneri,E4E0112,10,0.459468291736341,8.66666666666667,0.666666666666667,Corolla
E. pseudokerneri,E4E0029,7.63636363636364,0.416101545139848,6.5,0.5,Corolla
E. anglica x nemorosa,E4E0027,6,0.308606699924184,3.66666666666667,0.666666666666667,Teeth
E. anglica x rostkoviana,E4E0016,5.88888888888889,0.309320242379446,4,,Teeth
E. arctica,E4E0139,3.66666666666667,0.235702260395516,4,0,Teeth
E. arctica,E4E0032,3.6,0.266666666666667,3.33333333333333,0.333333333333333,Teeth
E. arctica,E4E0138,4.2,0.290593262902712,5,0,Teeth
E. arctica,E4E0144,5,0.333333333333333,,,Teeth
E. arctica x confusa,E4E0033,3.8,0.133333333333333,4,0,Teeth
E. arctica x nemorosa,E4E0021,6,0.333333333333333,4.5,0.5,Teeth
E. arctica x nemorosa,E4E0145,5.9,0.458257569495584,4.5,0.5,Teeth
E. confusa,E4E0009,6.1,0.1,4,,Teeth
E. confusa x nemorosa,E4E0031,5.1,0.17950549357115,4,0.577350269189626,Teeth
E. confusa x tetraquetra,E4E0143,4.2,0.2,4.33333333333333,0.333333333333333,Teeth
E. nemorosa,E4E0069,4.875,0.125,4.33333333333333,0.333333333333333,Teeth
E. nemorosa,E4E0064,5.3,0.472581562625261,4,,Teeth
E. pseudokerneri,E4E0112,6.1,0.17950549357115,4,0,Teeth
E. pseudokerneri,E4E0029,4.90909090909091,0.342571703298487,,,Teeth
E. anglica x nemorosa,E4E0027,2.21020408157143,0.189397251964266,2.142857143,0.459221464698087,Internode
E. anglica x rostkoviana,E4E0016,2.60158730155556,0.24877123072028,2.4,,Internode
E. arctica,E4E0139,3.16944444444444,0.160739514000482,2.33333333333333,0.333333333333333,Internode
E. arctica,E4E0032,2.6933333333,0.164094973983414,2.080357143,0.205357143,Internode
E. arctica,E4E0138,3.175,0.185180092522568,1.8857142855,0.3142857145,Internode
E. arctica,E4E0144,2.63730158733333,0.245480052206845,,,Internode
E. arctica x confusa,E4E0033,3.9916666667,0.118145390677476,2.511904762,0.753769815105646,Internode
E. arctica x nemorosa,E4E0021,2.3126190476,0.15104158813001,0.675,0.075,Internode
E. arctica x nemorosa,E4E0145,2.1549999999,0.145924930754962,1.76666666666667,0.145296631451356,Internode
E. confusa,E4E0009,2.1095238095,0.120999865648995,0.75,,Internode
E. confusa x nemorosa,E4E0031,2.6816666666,0.164812838100348,1.19841269866667,0.1247320131772,Internode
E. confusa x tetraquetra,E4E0143,2.3883333333,0.142032208137998,0.5,0.0962250450573877,Internode
E. nemorosa,E4E0069,2.00625,0.132435125627607,0.925925926,0.074074074,Internode
E. nemorosa,E4E0064,2.1602380952,0.195818613662775,1,,Internode
E. pseudokerneri,E4E0112,2.1852380952,0.134685977075444,1.378968254,0.0275643732154551,Internode
E. pseudokerneri,E4E0029,1.97878787881818,0.0994452011252947,1.0833333335,0.0833333335000001,Internode
