Host,Mean,SEM
No host,4.45,0.05
Agrostis capillaris,5.404761905,0.13264277
Allium ursinum,3.9,
Anthriscus sylvestris,4.825,0.411045415
Arabidopsis thaliana,5.342105263,0.207929896
Centaurea nigra,4.9,
Centranthus ruber,5.621428571,0.12974132
Chenopodium album,5.192857143,0.170475832
Chenopodium bonus-henricus,,
Cynosurus cristatus,5.770833333,0.137324218
Equisetum arvense,5.35,0.248495473
Festuca rubra,5.338888889,0.170569766
Fragaria vesca,4.95,0.170015378
Galanthus nivalis,4.6,0.585946528
Galium aparine,5.42962963,0.129189321
Galium verum,5.145,0.121281534
Helianthemum nummularium,4.983333333,0.235820082
Holcus lanatus,5.37,0.313687743
Hordeum vulgare,5.304347826,0.13651192
Lagurus ovatus,5.15,0.486997604
Lathyrus japonicus,5.946666667,0.202805717
Leucanthemum vulgare,4.7,0.916515139
Lotus corniculatus,5.98,0.129357386
Meum athamanticum,4.1,
Mimulus guttatus,5.042857143,0.230792777
Ononis spinosa,5.5,
Papaver rhoeas,5.08,0.222261108
Phleum pratense,,
Pinus sylvestris,3.65,0.85
Plantago lanceolata,5.620689655,0.112558612
Rumex acetosella,5.483333333,0.14700718
Senecio vulgaris,5.471428571,0.161413821
Silene latifolia,4.575,0.599131316
Tragopogon pratensis,5.545454545,0.174441257
Trifolium pratense,5.492307692,0.194297399
Ulex europaeus,4.7,0.282842712
Vicia cracca,5.663636364,0.184525301
Zea mays,4.983333333,0.320849567
Silene dioica,5.173684211,0.12515303
Cystopteris dickeniana,,
Sorbus aucuparia,,
Hyacinthoides non-scripta,4.266666667,0.145296631
Erica tetralix,5.7,
